fold_id,model,rmse,mae,r2
28,forward_collaborative_actual,0.4473443107032141,0.38010819574449867,0.5629264273679297
28,forward_collaborative_deploy,0.5305224984120398,0.4754562646066307,0.3852786122958639
29,forward_master,0.4020228646185646,0.25547006069279354,0.0863581722779514
29,forward_independent,0.48502753727254405,0.44410257618410764,0.2310309688840987
29,forward_collaborative_actual,0.46658410241658466,0.3980732694645751,0.2884000123557747
29,forward_collaborative_deploy,0.5345623086311948,0.4920560476739745,0.0659444074879002
30,forward_master,0.31785662236718476,0.21916515449136675,0.12567741207300387
30,forward_independent,0.5851581416021779,0.5442612400462452,0.3525860386239853
30,forward_collaborative_actual,0.5141516396353174,0.4559627233021006,0.5001749628451329
30,forward_collaborative_deploy,0.5552999827436781,0.5143621313172823,0.41697003413526
31,forward_master,0.35604389993685165,0.24445110190048489,-0.32416669123516617
31,forward_independent,0.5465688459602577,0.4918644385625579,0.38127857598549775
31,forward_collaborative_actual,0.5194992317086039,0.44409454799418946,0.44104708377641744
31,forward_collaborative_deploy,0.5390169467909192,0.4862178379339205,0.39825810896633607
32,forward_master,0.34427808221776096,0.22078352954204977,0.12380900478758972
32,forward_independent,0.54932370386908,0.48260270358183105,0.3695912458722187
32,forward_collaborative_actual,0.47748627002861416,0.4120931022342758,0.5236925963450634
32,forward_collaborative_deploy,0.5457341910464978,0.4901587341686317,0.3778030417535533
33,forward_master,0.39840736559619433,0.2757617655347662,0.16187900971533487
33,forward_independent,0.4899198432118546,0.45769954834724563,0.3215864231923774
33,forward_collaborative_actual,0.4551407546905371,0.38931910898628663,0.41448783698929115
33,forward_collaborative_deploy,0.49291485266252166,0.4553603049941316,0.31326642662271165
34,forward_master,0.37951907523789136,0.26107044699056714,-0.06474903122397468
34,forward_independent,0.46227488335907385,0.4077462868601454,0.35011442043973395
34,forward_collaborative_actual,0.46538975067597876,0.368157008532942,0.3413268897059688
34,forward_collaborative_deploy,0.49574658107483616,0.44009561335121283,0.25259541008183284
35,forward_master,0.4350199925636181,0.31606645614891277,0.15264599732813267
35,forward_independent,0.45245505509093825,0.4331683589246913,0.5896569728516492
35,forward_collaborative_actual,0.4011500931485353,0.35277982136109765,0.6774404064370364
35,forward_collaborative_deploy,0.4774281008676247,0.44084697700905817,0.5431095047922937
36,forward_master,0.41482052167979205,0.2750937388857119,0.0914005567932209
36,forward_independent,0.5347178006093378,0.48709477390690303,0.10205188116589425
36,forward_collaborative_actual,0.4921011298456168,0.40697728955070467,0.2394799194852466
36,forward_collaborative_deploy,0.542850989278006,0.49379765671974524,0.07452811799259673
