method,lambda1,lambda2,lambda3,rmse_dflow,mae_dflow,r2_dflow,rmse_dgap,mae_dgap,r2_dgap,joint_rmse_mean,joint_mae_mean,joint_r2_mean,collaboration_rmse,accuracy_dflow,accuracy_dgap,joint_pair_accuracy
full_joint_recommendation,4.0,1.0,1.0,0.12751534261266767,0.016260162601626018,0.8956743002544529,0.5257592264788534,0.2764227642276423,0.36999096113287133,0.3266372845457606,0.14634146341463414,0.6328326306936621,0.6278092114511789,0.983739837398374,0.7235772357723578,0.7073170731707317
full_joint_recommendation,4.0,2.0,2.0,0.12751534261266767,0.016260162601626018,0.8956743002544529,0.5257592264788534,0.2764227642276423,0.36999096113287133,0.3266372845457606,0.14634146341463414,0.6328326306936621,0.6278092114511789,0.983739837398374,0.7235772357723578,0.7073170731707317
full_joint_recommendation,0.5,4.0,0.5,0.4771187236136979,0.22764227642276422,-0.4605597964376593,0.18033392693348646,0.032520325203252036,0.9258812895450437,0.3287263252735922,0.13008130081300812,0.23266074655369218,0.7720496465927867,0.7723577235772358,0.967479674796748,0.7398373983739838
full_joint_recommendation,0.5,0.5,0.25,0.18033392693348646,0.032520325203252036,0.7913486005089059,0.48556395842728817,0.23577235772357724,0.4626393492015668,0.3329489426803873,0.13414634146341464,0.6269939748552363,0.6355067445288445,0.967479674796748,0.7642276422764228,0.7317073170731707
full_joint_recommendation,1.0,1.0,0.5,0.18033392693348646,0.032520325203252036,0.7913486005089059,0.48556395842728817,0.23577235772357724,0.4626393492015668,0.3329489426803873,0.13414634146341464,0.6269939748552363,0.6355067445288445,0.967479674796748,0.7642276422764228,0.7317073170731707
full_joint_recommendation,2.0,2.0,1.0,0.18033392693348646,0.032520325203252036,0.7913486005089059,0.48556395842728817,0.23577235772357724,0.4626393492015668,0.3329489426803873,0.13414634146341464,0.6269939748552363,0.6355067445288445,0.967479674796748,0.7642276422764228,0.7317073170731707
full_joint_recommendation,4.0,4.0,2.0,0.18033392693348646,0.032520325203252036,0.7913486005089059,0.48556395842728817,0.23577235772357724,0.4626393492015668,0.3329489426803873,0.13414634146341464,0.6269939748552363,0.6355067445288445,0.967479674796748,0.7642276422764228,0.7317073170731707
full_joint_recommendation,0.5,1.0,0.5,0.20161945963637795,0.04065040650406504,0.7391857506361323,0.48556395842728817,0.23577235772357724,0.4626393492015668,0.34359170903183306,0.13821138211382114,0.6009125499188496,0.6218501865774869,0.959349593495935,0.7642276422764228,0.7235772357723578
full_joint_recommendation,1.0,2.0,1.0,0.20161945963637795,0.04065040650406504,0.7391857506361323,0.48556395842728817,0.23577235772357724,0.4626393492015668,0.34359170903183306,0.13821138211382114,0.6009125499188496,0.6218501865774869,0.959349593495935,0.7642276422764228,0.7235772357723578
full_joint_recommendation,2.0,4.0,2.0,0.20161945963637795,0.04065040650406504,0.7391857506361323,0.48556395842728817,0.23577235772357724,0.4626393492015668,0.34359170903183306,0.13821138211382114,0.6009125499188496,0.6218501865774869,0.959349593495935,0.7642276422764228,0.7235772357723578
full_joint_recommendation,0.5,2.0,0.5,0.4324255657551935,0.18699186991869918,-0.19974554707379144,0.25503068522533534,0.06504065040650407,0.8517625790900873,0.34372812549026444,0.12601626016260162,0.32600851600814795,0.759221144824456,0.8130081300813008,0.9349593495934959,0.7479674796747967
full_joint_recommendation,1.0,4.0,1.0,0.4324255657551935,0.18699186991869918,-0.19974554707379144,0.25503068522533534,0.06504065040650407,0.8517625790900873,0.34372812549026444,0.12601626016260162,0.32600851600814795,0.759221144824456,0.8130081300813008,0.9349593495934959,0.7479674796747967
full_joint_recommendation,0.5,0.5,0.5,0.2208630521496931,0.04878048780487805,0.6870229007633588,0.5100613704506707,0.2601626016260163,0.4070503163603495,0.36546221130018186,0.15447154471544716,0.5470366085618541,0.6131994782826057,0.9512195121951219,0.7398373983739838,0.6910569105691057
